,Class
0,17
1,0
2,17
3,11
4,10
5,15
6,4
7,17
8,13
9,12
10,1
11,6
12,13
13,15
14,4
15,11
16,11
17,10
18,12
19,19
20,12
21,12
22,16
23,16
24,10
25,15
26,6
27,11
28,10
29,8
30,11
31,4
32,4
33,15
34,17
35,7
36,15
37,0
38,4
39,7
40,4
41,13
42,12
43,1
44,2
45,5
46,3
47,6
48,12
49,4
50,2
51,15
52,2
53,12
54,14
55,14
56,7
57,7
58,14
59,9
60,11
61,10
62,14
63,17
64,11
65,6
66,5
67,10
68,19
69,16
70,8
71,8
72,4
73,9
74,6
75,8
76,17
77,4
78,16
79,19
80,7
81,16
82,5
83,7
84,4
85,2
86,12
87,9
88,0
89,2
90,4
91,14
92,4
93,11
94,8
95,15
96,14
97,11
98,0
99,6
100,11
101,12
102,2
103,5
104,3
105,14
106,7
107,8
108,3
109,7
110,5
111,9
112,18
113,2
114,4
115,11
116,5
117,4
118,16
119,3
120,10
121,12
122,3
123,7
124,19
125,4
126,3
127,9
128,4
129,10
130,4
131,3
132,15
133,17
134,1
135,2
136,13
137,13
138,1
139,10
140,19
141,7
142,11
143,8
144,5
145,15
146,5
147,5
148,17
149,9
150,10
151,2
152,5
153,11
154,6
155,8
156,9
157,14
158,7
159,7
160,19
161,12
162,10
163,8
164,1
165,15
166,18
167,12
168,2
169,8
170,7
171,19
172,2
173,8
174,16
175,9
176,9
177,10
178,11
179,12
180,1
181,17
182,5
183,6
184,6
185,13
186,13
187,4
188,10
189,10
190,1
191,7
192,18
193,9
194,16
195,1
196,14
197,9
198,16
199,13
200,13
201,11
202,6
203,18
204,14
205,4
206,13
207,15
208,7
209,7
210,14
211,1
212,2
213,0
214,8
215,18
216,14
217,12
218,4
219,15
220,4
221,15
222,15
223,3
224,5
225,12
226,16
227,16
228,16
229,1
230,5
231,10
232,1
233,4
234,18
235,13
236,12
237,19
238,17
239,17
240,5
241,1
242,14
243,10
244,10
245,7
246,3
247,17
248,12
249,13
250,2
251,1
252,17
253,12
254,1
255,3
256,9
257,7
258,15
259,12
260,4
261,4
262,12
263,17
264,8
265,6
266,12
267,2
268,14
269,9
270,6
271,6
272,0
273,5
274,17
275,11
276,5
277,0
278,12
279,1
280,13
281,4
282,18
283,13
284,19
285,17
286,10
287,11
288,17
289,6
290,15
291,13
292,9
293,8
294,8
295,0
296,12
297,9
298,15
299,5
300,7
301,10
302,16
303,12
304,10
305,18
306,9
307,7
308,7
309,0
310,14
311,9
312,18
313,15
314,12
315,6
316,5
317,8
318,2
319,16
320,4
321,11
322,19
323,12
324,17
325,5
326,14
327,17
328,8
329,4
330,6
331,7
332,16
333,15
334,14
335,14
336,11
337,17
338,13
339,15
340,7
341,14
342,16
343,12
344,3
345,9
346,5
347,1
348,11
349,13
350,14
351,0
352,18
353,1
354,14
355,16
356,16
357,8
358,19
359,2
360,13
361,9
362,3
363,12
364,14
365,0
366,17
367,3
368,16
369,11
370,15
371,3
372,1
373,6
374,16
375,16
376,13
377,11
378,7
379,4
380,7
381,1
382,19
383,14
384,3
385,2
386,10
387,14
388,6
389,15
390,4
391,3
392,9
393,16
394,13
395,5
396,4
397,8
398,12
399,14
400,3
401,2
402,1
403,18
404,14
405,8
406,9
407,12
408,18
409,18
410,1
411,6
412,15
413,9
414,14
415,11
416,14
417,9
418,18
419,11
420,12
421,16
422,1
423,11
424,7
425,16
426,12
427,10
428,1
429,2
430,14
431,18
432,11
433,10
434,6
435,16
436,18
437,3
438,5
439,16
440,9
441,7
442,10
443,3
444,5
445,0
446,1
447,11
448,3
449,11
450,2
451,15
452,10
453,11
454,9
455,10
456,3
457,12
458,3
459,19
460,9
461,8
462,2
463,13
464,13
465,14
466,2
467,13
468,12
469,5
470,13
471,6
472,3
473,0
474,3
475,13
476,17
477,15
478,1
479,2
480,2
481,13
482,9
483,4
484,9
485,1
486,8
487,7
488,9
489,19
490,2
491,10
492,1
493,19
494,3
495,10
496,17
497,0
498,18
499,3
500,1
501,8
502,7
503,15
504,10
505,2
506,10
507,10
508,10
509,3
510,15
511,0
512,6
513,1
514,10
515,15
516,11
517,1
518,7
519,6
520,7
521,11
522,2
523,0
524,3
525,17
526,18
527,14
528,0
529,3
530,8
531,6
532,7
533,9
534,14
535,19
536,12
537,19
538,15
539,0
540,13
541,0
542,6
543,14
544,15
545,14
546,4
547,4
548,10
549,19
550,12
551,0
552,9
553,2
554,12
555,6
556,9
557,3
558,6
559,15
560,5
561,16
562,0
563,9
